date,high,open,low,close,volume,mav1,mav2,mav3,DiffBB,sameline
1540425600,1.30579,1.30476,1.30378,1.30468,5273,1.30511,1.306988,1.3080532,0.02166442991589701,1
1540440000,1.30469,1.30468,1.30148,1.3019,6914,1.303844,1.306135,1.3078712000000001,0.02237827846437357,1
1540454400,1.30375,1.3019,1.30151,1.30286,10007,1.3027099999999998,1.305407,1.3077663999999998,0.02301912032620379,1
1540468800,1.30571,1.30286,1.30144,1.30544,12523,1.303928,1.305105,1.3078396,0.023094670129887973,1
1540483200,1.30976,1.30543,1.30405,1.30667,24055,1.30431,1.304956,1.307696,0.023131388991674662,1
1540497600,1.30858,1.30668,1.30647,1.30652,10237,1.304678,1.304894,1.3075192000000002,0.02317482518167946,1
1540512000,1.30756,1.30651,1.30645,1.30703,4123,1.305704,1.3047739999999999,1.3074088000000001,0.02313279206814567,1
1540526400,1.31167,1.30703,1.30703,1.31135,9469,1.3074020000000002,1.305056,1.307448,0.023580477565170455,1
1540540800,1.3143,1.31134,1.31021,1.31372,12601,1.3090579999999998,1.3064930000000001,1.3076383999999999,0.024317249691248488,1
1540555200,1.31526,1.31372,1.31319,1.31448,15197,1.31062,1.307465,1.307884,0.02589633941902214,1
1540569600,1.31588,1.31447,1.30925,1.31002,22765,1.3113199999999998,1.3079990000000001,1.3079375999999998,0.025714433317155283,1
1540584000,1.3101,1.31002,1.30678,1.30838,15809,1.3115900000000003,1.308647,1.3078516,0.025598505845303876,1
1540598400,1.31026,1.30838,1.30799,1.3102,2002,1.31136,1.309381,1.3078524000000002,0.025566503946390373,1
1540771200,1.31029,1.30953,1.30893,1.31023,2650,1.3106620000000002,1.30986,1.3078708000000001,0.025727567358802883,1
1540785600,1.31079,1.31023,1.30959,1.31024,5271,1.309814,1.3102170000000002,1.3079031999999997,0.025908815663752804,1
1540800000,1.31119,1.31024,1.3093,1.31022,8940,1.309854,1.310587,1.3079656,0.026068185602235783,1
1540814400,1.3114,1.31022,1.30815,1.31038,13373,1.310254,1.3109220000000001,1.3079636,0.02604022691594654,1
1540828800,1.31326,1.31038,1.30947,1.31284,19142,1.3107820000000001,1.3110709999999999,1.3080716000000001,0.026754888914412245,1
1540843200,1.31485,1.31284,1.31161,1.31329,11571,1.311394,1.3110279999999999,1.3082648000000001,0.027648939318178467,1
1540857600,1.31335,1.31327,1.31117,1.31191,8023,1.311728,1.3107710000000001,1.3084148,0.02807533458139222,1
1540872000,1.31211,1.31191,1.31006,1.31123,6730,1.3119299999999998,1.3108920000000002,1.3085784,0.028349047897323842,1
1540886400,1.31194,1.31123,1.30996,1.31117,9354,1.312088,1.311171,1.3086959999999999,0.028473283592235443,1
1540900800,1.31437,1.31117,1.31112,1.31348,13469,1.3122159999999998,1.311499,1.308894,0.02926563569353835,1
1540915200,1.31424,1.31348,1.31153,1.31419,17775,1.3123960000000001,1.311895,1.3094876,0.0303129449210795,1
1540929600,1.31463,1.31419,1.31072,1.31078,8261,1.31217,1.3119489999999998,1.3097284,0.030403033845815663,1
1540944000,1.31236,1.31077,1.31044,1.31139,5310,1.3122019999999999,1.3120660000000002,1.3099968000000002,0.03045035164502652,1
1540958400,1.31295,1.31139,1.31139,1.31281,4313,1.3125300000000002,1.312309,1.3104331999999999,0.03086619487579334,1
1540972800,1.31357,1.31281,1.31171,1.312,7108,1.3122340000000001,1.3122250000000002,1.3107988,0.031081827013197394,1
1540987200,1.31388,1.312,1.31077,1.31316,12019,1.3120280000000002,1.3122120000000002,1.3111076,0.027518358810583177,1
1541001600,1.31506,1.31316,1.31084,1.31482,20655,1.3128360000000001,1.312503,1.3114336,0.027284473154274735,1
1541016000,1.31691,1.31484,1.31462,1.31565,10852,1.3136880000000002,1.3129450000000003,1.3117988,0.027049061120313578,1
1541030400,1.31682,1.31565,1.31491,1.31555,5439,1.314236,1.313383,1.3121396,0.024581633960751414,1
1541044800,1.31581,1.31554,1.3136,1.314,5228,1.3146360000000001,1.3134350000000001,1.3122456,0.021574688445349377,1
1541059200,1.31481,1.314,1.31083,1.31118,7914,1.31424,1.313134,1.3121440000000002,0.01959047180779283,1
1541073600,1.31162,1.31118,1.3082,1.30931,13751,1.313138,1.3129870000000001,1.3119372,0.018462474844291865,1
1541088000,1.31141,1.3093,1.30678,1.30844,18862,1.311696,1.312692,1.311874,0.017455078367753174,1
1541102400,1.30957,1.30845,1.3084,1.3085,7870,1.310286,1.3122610000000001,1.3118788000000001,0.01668710749909952,1
1541116800,1.3094,1.3085,1.30802,1.30921,4761,1.309328,1.311982,1.3118392,0.017110508914323752,1
1541131200,1.30973,1.30921,1.3074,1.30769,5455,1.30863,1.311435,1.3117376,0.017836926695138366,1
1541145600,1.30822,1.30769,1.30489,1.30541,10020,1.30785,1.310494,1.3115443999999998,0.019408529654584505,1
1541160000,1.31087,1.30538,1.30476,1.31047,15801,1.3082559999999999,1.3099760000000003,1.3115544,0.019356344480008225,1
1541174400,1.31182,1.31047,1.30934,1.31121,18397,1.308798,1.309542,1.3115876,0.018858476721953732,1
