<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.06.24	11:30:00	1.22904	1.22972	1.22899	1.22961	526	0	2
2021.06.24	11:45:00	1.22961	1.23024	1.22956	1.23000	585	0	2
2021.06.24	12:00:00	1.23000	1.23006	1.22946	1.22967	529	0	2
2021.06.24	12:15:00	1.22967	1.23005	1.22945	1.22992	643	0	2
2021.06.24	12:30:00	1.22992	1.23015	1.22922	1.22922	550	0	2
2021.06.24	12:45:00	1.22922	1.22965	1.22918	1.22934	621	0	2
2021.06.24	13:00:00	1.22936	1.22961	1.22917	1.22938	534	0	2
2021.06.24	13:15:00	1.22938	1.22941	1.22899	1.22908	529	0	2
2021.06.24	13:30:00	1.22908	1.22912	1.22824	1.22848	513	0	2
2021.06.24	13:45:00	1.22849	1.22887	1.22843	1.22878	485	0	2
2021.06.24	14:00:00	1.22878	1.22961	1.22862	1.22932	1399	0	2
2021.06.24	14:15:00	1.22932	1.22965	1.22916	1.22945	677	0	2
2021.06.24	14:30:00	1.22943	1.23007	1.22943	1.22976	624	0	2
2021.06.24	14:45:00	1.22976	1.22990	1.22937	1.22965	694	0	2
2021.06.24	15:00:00	1.22965	1.23012	1.22951	1.23003	892	0	2
2021.06.24	15:15:00	1.23004	1.23004	1.22948	1.22963	760	0	2
2021.06.24	15:30:00	1.22965	1.22985	1.22906	1.22979	1202	0	2
2021.06.24	15:45:00	1.22979	1.22998	1.22873	1.22906	1031	0	2
2021.06.24	16:00:00	1.22908	1.22997	1.22882	1.22989	928	0	2
2021.06.24	16:15:00	1.22988	1.23119	1.22976	1.23075	1030	0	2
2021.06.24	16:30:00	1.23076	1.23080	1.22948	1.22986	1357	0	2
2021.06.24	16:45:00	1.22987	1.23040	1.22963	1.23017	1229	0	2
2021.06.24	17:00:00	1.23017	1.23089	1.23000	1.23052	1171	0	2
2021.06.24	17:15:00	1.23052	1.23077	1.23001	1.23070	893	0	2
2021.06.24	17:30:00	1.23070	1.23217	1.23049	1.23214	975	0	2
2021.06.24	17:45:00	1.23211	1.23406	1.23198	1.23370	1439	0	2
2021.06.24	18:00:00	1.23368	1.23383	1.23302	1.23335	988	0	2
2021.06.24	18:15:00	1.23337	1.23405	1.23337	1.23375	708	0	2
2021.06.24	18:30:00	1.23375	1.23375	1.23298	1.23315	712	0	2
2021.06.24	18:45:00	1.23319	1.23395	1.23312	1.23378	584	0	2
2021.06.24	19:00:00	1.23378	1.23392	1.23312	1.23321	592	0	2
2021.06.24	19:15:00	1.23322	1.23338	1.23244	1.23245	561	0	2
2021.06.24	19:30:00	1.23247	1.23249	1.23199	1.23207	511	0	2
2021.06.24	19:45:00	1.23206	1.23246	1.23115	1.23219	547	0	2
2021.06.24	20:00:00	1.23219	1.23219	1.23148	1.23154	432	0	2
2021.06.24	20:15:00	1.23150	1.23184	1.23103	1.23135	456	0	2
2021.06.24	20:30:00	1.23135	1.23205	1.23116	1.23178	475	0	2
2021.06.24	20:45:00	1.23177	1.23190	1.23160	1.23178	492	0	2
2021.06.24	21:00:00	1.23178	1.23184	1.23094	1.23156	697	0	2
2021.06.24	21:15:00	1.23156	1.23181	1.23145	1.23169	420	0	2
2021.06.24	21:30:00	1.23169	1.23227	1.23168	1.23225	294	0	2
2021.06.24	21:45:00	1.23222	1.23241	1.23203	1.23220	394	0	2
2021.06.24	22:00:00	1.23220	1.23260	1.23189	1.23190	401	0	2
2021.06.24	22:15:00	1.23190	1.23254	1.23189	1.23198	595	0	2
2021.06.24	22:30:00	1.23197	1.23233	1.23190	1.23221	371	0	2
2021.06.24	22:45:00	1.23221	1.23263	1.23197	1.23233	575	0	2
2021.06.24	23:00:00	1.23233	1.23253	1.23174	1.23249	295	0	2
2021.06.24	23:15:00	1.23249	1.23260	1.23203	1.23207	189	0	2
2021.06.24	23:30:00	1.23207	1.23246	1.23206	1.23209	227	0	2
2021.06.24	23:45:00	1.23210	1.23237	1.23193	1.23225	287	0	2
2021.06.25	00:00:00	1.23211	1.23211	1.23161	1.23181	121	0	43
2021.06.25	00:15:00	1.23179	1.23238	1.23164	1.23217	91	0	23
2021.06.25	00:30:00	1.23171	1.23223	1.23171	1.23206	109	0	39
2021.06.25	00:45:00	1.23196	1.23232	1.23194	1.23221	151	0	16
2021.06.25	01:00:00	1.23232	1.23234	1.23181	1.23199	136	0	9
2021.06.25	01:15:00	1.23199	1.23204	1.23176	1.23177	64	0	8
2021.06.25	01:30:00	1.23182	1.23209	1.23178	1.23193	75	0	5
2021.06.25	01:45:00	1.23195	1.23207	1.23193	1.23201	59	0	5
2021.06.25	02:00:00	1.23201	1.23210	1.23186	1.23203	103	0	2
2021.06.25	02:15:00	1.23203	1.23222	1.23201	1.23220	60	0	4
2021.06.25	02:30:00	1.23220	1.23220	1.23196	1.23206	59	0	2
2021.06.25	02:45:00	1.23206	1.23223	1.23203	1.23223	130	0	2
2021.06.25	03:00:00	1.23228	1.23264	1.23221	1.23227	447	0	2
2021.06.25	03:15:00	1.23227	1.23272	1.23227	1.23235	394	0	2
2021.06.25	03:30:00	1.23235	1.23262	1.23219	1.23252	326	0	2
2021.06.25	03:45:00	1.23252	1.23295	1.23234	1.23238	460	0	2
2021.06.25	04:00:00	1.23240	1.23242	1.23205	1.23218	343	0	2
2021.06.25	04:15:00	1.23219	1.23226	1.23168	1.23175	319	0	2
2021.06.25	04:30:00	1.23174	1.23182	1.23121	1.23159	363	0	2
2021.06.25	04:45:00	1.23159	1.23186	1.23159	1.23171	300	0	2
2021.06.25	05:00:00	1.23169	1.23196	1.23164	1.23191	164	0	2
2021.06.25	05:15:00	1.23190	1.23193	1.23129	1.23134	338	0	2
2021.06.25	05:30:00	1.23133	1.23162	1.23125	1.23153	312	0	2
2021.06.25	05:45:00	1.23153	1.23153	1.23116	1.23139	556	0	2
2021.06.25	06:00:00	1.23137	1.23146	1.23126	1.23133	378	0	2
2021.06.25	06:15:00	1.23133	1.23139	1.23119	1.23120	204	0	2
2021.06.25	06:30:00	1.23120	1.23131	1.23106	1.23113	313	0	2
2021.06.25	06:45:00	1.23113	1.23123	1.23106	1.23114	247	0	2
2021.06.25	07:00:00	1.23115	1.23140	1.23111	1.23131	194	0	2
2021.06.25	07:15:00	1.23130	1.23136	1.23113	1.23130	208	0	2
2021.06.25	07:30:00	1.23131	1.23153	1.23131	1.23142	148	0	2
2021.06.25	07:45:00	1.23143	1.23155	1.23134	1.23143	250	0	2
2021.06.25	08:00:00	1.23144	1.23159	1.23130	1.23151	323	0	19
2021.06.25	08:15:00	1.23150	1.23172	1.23124	1.23124	301	0	2
2021.06.25	08:30:00	1.23124	1.23138	1.23110	1.23120	585	0	2
2021.06.25	08:45:00	1.23121	1.23121	1.23066	1.23066	539	0	2
2021.06.25	09:00:00	1.23066	1.23135	1.23063	1.23112	707	0	2
2021.06.25	09:15:00	1.23112	1.23124	1.23078	1.23080	634	0	2
2021.06.25	09:30:00	1.23080	1.23101	1.23018	1.23026	522	0	2
2021.06.25	09:45:00	1.23027	1.23043	1.23012	1.23028	651	0	2
2021.06.25	10:00:00	1.23027	1.23077	1.23017	1.23043	897	0	2
2021.06.25	10:15:00	1.23043	1.23105	1.23031	1.23059	508	0	2
2021.06.25	10:30:00	1.23059	1.23074	1.23029	1.23040	494	0	2
2021.06.25	10:45:00	1.23040	1.23053	1.22996	1.23020	540	0	2
2021.06.25	11:00:00	1.23020	1.23101	1.23020	1.23065	817	0	2
2021.06.25	11:15:00	1.23068	1.23074	1.23006	1.23046	460	0	2
2021.06.25	11:30:00	1.23046	1.23063	1.23027	1.23048	457	0	2
2021.06.25	11:45:00	1.23047	1.23063	1.23017	1.23033	524	0	2
2021.06.25	12:00:00	1.23034	1.23063	1.22988	1.23037	574	0	2
2021.06.25	12:15:00	1.23037	1.23048	1.22991	1.23020	536	0	2
2021.06.25	12:30:00	1.23020	1.23067	1.23015	1.23047	656	0	2
2021.06.25	12:45:00	1.23048	1.23097	1.23037	1.23086	679	0	2
2021.06.25	13:00:00	1.23086	1.23136	1.23083	1.23112	492	0	2
2021.06.25	13:15:00	1.23113	1.23125	1.23090	1.23091	521	0	2
2021.06.25	13:30:00	1.23091	1.23102	1.23060	1.23086	418	0	2
2021.06.25	13:45:00	1.23086	1.23090	1.23012	1.23033	318	0	2
2021.06.25	14:00:00	1.23032	1.23100	1.23029	1.23098	426	0	2
2021.06.25	14:15:00	1.23098	1.23131	1.23065	1.23065	446	0	2
2021.06.25	14:30:00	1.23065	1.23100	1.23065	1.23072	483	0	2
2021.06.25	14:45:00	1.23072	1.23097	1.23067	1.23090	572	0	2
2021.06.25	15:00:00	1.23090	1.23092	1.22972	1.22973	714	0	2
2021.06.25	15:15:00	1.22974	1.22977	1.22900	1.22958	690	0	2
2021.06.25	15:30:00	1.22958	1.22961	1.22843	1.22921	1334	0	2
2021.06.25	15:45:00	1.22921	1.22974	1.22900	1.22952	1149	0	2
2021.06.25	16:00:00	1.22952	1.22952	1.22879	1.22885	1180	0	2
2021.06.25	16:15:00	1.22885	1.22913	1.22871	1.22882	798	0	2
2021.06.25	16:30:00	1.22882	1.22962	1.22861	1.22896	1365	0	2
