<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.08.01	12:00:00	1.32190	1.32373	1.32105	1.32316	7233	0	1
2019.08.01	16:00:00	1.32316	1.32475	1.31832	1.31851	12858	0	1
2019.08.01	20:00:00	1.31851	1.32426	1.31824	1.32109	22802	0	1
2019.08.02	00:00:00	1.32109	1.32210	1.32053	1.32196	7475	0	1
2019.08.02	04:00:00	1.32195	1.32247	1.32098	1.32160	15717	0	2
2019.08.02	08:00:00	1.32160	1.32300	1.32142	1.32247	10046	0	1
2019.08.02	12:00:00	1.32247	1.32659	1.32162	1.32461	11653	0	1
2019.08.02	16:00:00	1.32461	1.32552	1.32000	1.32015	22980	0	1
2019.08.02	20:00:00	1.32015	1.32241	1.31991	1.31996	10657	0	1
2019.08.05	00:00:00	1.32102	1.32142	1.31911	1.31980	7096	0	1
2019.08.05	04:00:00	1.31982	1.32426	1.31948	1.32281	14229	0	1
2019.08.05	08:00:00	1.32281	1.32408	1.32254	1.32379	10429	0	1
2019.08.05	12:00:00	1.32379	1.32473	1.32121	1.32180	8854	0	1
2019.08.05	16:00:00	1.32180	1.32258	1.31773	1.31861	16336	0	1
2019.08.05	20:00:00	1.31860	1.32257	1.31839	1.32113	10662	0	1
2019.08.06	00:00:00	1.31974	1.32226	1.31938	1.32102	15393	0	1
2019.08.06	04:00:00	1.32102	1.32120	1.31867	1.31939	20148	0	1
2019.08.06	08:00:00	1.31939	1.32073	1.31889	1.31965	11564	0	1
2019.08.06	12:00:00	1.31965	1.32361	1.31931	1.32338	7369	0	1
2019.08.06	16:00:00	1.32338	1.32785	1.32190	1.32775	16518	0	1
2019.08.06	20:00:00	1.32777	1.32910	1.32711	1.32786	8660	0	1
2019.08.07	00:00:00	1.32788	1.32870	1.32669	1.32774	10349	0	1
2019.08.07	04:00:00	1.32774	1.33148	1.32692	1.32952	19229	0	1
2019.08.07	08:00:00	1.32953	1.33082	1.32872	1.32914	8775	0	1
2019.08.07	12:00:00	1.32911	1.33381	1.32843	1.33378	11167	0	1
2019.08.07	16:00:00	1.33378	1.33444	1.33033	1.33301	26934	0	1
2019.08.07	20:00:00	1.33301	1.33374	1.32846	1.33008	13150	0	1
2019.08.08	00:00:00	1.33008	1.33140	1.32981	1.33027	11534	0	2
2019.08.08	04:00:00	1.33026	1.33048	1.32720	1.32793	13793	0	2
2019.08.08	08:00:00	1.32793	1.32903	1.32772	1.32873	7133	0	1
2019.08.08	12:00:00	1.32873	1.33110	1.32800	1.32960	8152	0	1
2019.08.08	16:00:00	1.32960	1.33070	1.32281	1.32426	17466	0	1
2019.08.08	20:00:00	1.32426	1.32431	1.32213	1.32254	10921	0	1
2019.08.09	00:00:00	1.32250	1.32404	1.32250	1.32290	4591	0	2
2019.08.09	04:00:00	1.32290	1.32317	1.32148	1.32227	3984	0	2
2019.08.09	08:00:00	1.32227	1.32296	1.32172	1.32219	5755	0	1
2019.08.09	12:00:00	1.32219	1.32744	1.32064	1.32543	8964	0	1
2019.08.09	16:00:00	1.32543	1.32553	1.32057	1.32234	17976	0	1
2019.08.09	20:00:00	1.32235	1.32322	1.31959	1.32113	9045	0	1
2019.08.12	00:00:00	1.31961	1.32254	1.31955	1.32229	3615	0	1
2019.08.12	04:00:00	1.32229	1.32280	1.32171	1.32189	7916	0	2
2019.08.12	08:00:00	1.32189	1.32445	1.32137	1.32352	7715	0	1
2019.08.12	12:00:00	1.32352	1.32501	1.32128	1.32202	11884	0	1
